,AAPL,AMZN,AVGO,GOOG,GOOGL,LLY,META,MSFT,NVDA,TSLA,AAPL,AMZN,AVGO,GOOG,GOOGL,LLY,META,MSFT,NVDA,TSLA,AAPL,AMZN,AVGO,GOOG,GOOGL,LLY,META,MSFT,NVDA,TSLA
,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,Daily_Change_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%,RollingVol_%
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,202.1505889892578,214.75,288.1463317871094,189.78036499023438,188.96099853515625,760.6593017578125,749.504150390625,523.2498168945312,173.710205078125,302.6300048828125,-2.50035932739211,-8.269617085933035,-1.722841350732096,-1.5088708524067074,-1.4434561707329485,3.0078273485331097,-3.0293219233175295,-1.7600720012266091,-2.333164124835896,-1.829559909125389,,,,,,,,,,
2025-08-04,203.11949157714844,211.64999389648438,297.2107849121094,195.5751953125,194.86570739746094,767.3146362304688,775.8463745117188,534.7609252929688,179.98985290527344,309.260009765625,0.4792974350137147,-1.443541840985152,3.145781196929165,3.053440392826623,3.1248294135184373,0.8749428893167321,3.5146201802037647,2.1999259295981233,3.6150137663611748,2.190795617037322,,,,,,,,,,
2025-08-05,202.68995666503906,213.75,292.428955078125,195.1455841064453,194.4960479736328,764.2713623046875,762.945068359375,526.8838500976562,178.24993896484375,308.7200012207031,-0.21146907604691068,0.9922070229506863,-1.6089018557649104,-0.21966548741941816,-0.1896995776040522,-0.39661356399138814,-1.6628686523750602,-1.4730087451690799,-0.9666733498278846,-0.17461311772288823,,,,,,,,,,
2025-08-06,213.0082550048828,222.30999755859375,301.1540222167969,196.74415588378906,195.91476440429688,744.7342529296875,771.4692993164062,524.0784912109375,179.40988159179688,319.9100036621094,5.090680618623611,4.004677220394748,2.9836536318166296,0.8191688193527336,0.7294320092593232,-2.5563053044517003,1.1172797768208342,-0.5324435141063399,0.6507394244785081,3.624644466558724,,,,,,,,,,
2025-08-07,219.7805633544922,223.1300048828125,303.2404479980469,197.10382080078125,196.34439086914062,639.4554443359375,761.316162109375,519.9852294921875,180.7598114013672,322.2699890136719,3.179364268982976,0.368857601198358,0.6928101992103031,0.18280843737215058,0.21929254089148031,-14.136426272807634,-1.3160779328520111,-0.7810398227357296,0.7524277913753652,0.7377028928595486,,,,,,,,,,
2025-08-08,229.0900115966797,222.69000244140625,304.4483642578125,201.90953063964844,201.24000549316406,624.2788696289062,768.7811279296875,521.1832275390625,182.689697265625,329.6499938964844,4.235792328538146,-0.19719555047620352,0.3983361282243525,2.438161685218909,2.4933814520254227,-2.3733592139154935,0.9805342631409975,0.2303907839930286,1.067652067844116,2.290006868278205,,,,,,,,,,
2025-08-11,227.17999267578125,221.3000030517578,303.38018798828125,201.449951171875,200.8203887939453,633.8278198242188,765.3534545898438,520.9136962890625,182.0497283935547,339.0299987792969,-0.8337416841468825,-0.6241858073597895,-0.3508563010792498,-0.22761653019424122,-0.20851554748789747,1.5295968932904414,-0.44585815329187817,-0.05171525785138131,-0.3503037563961864,2.845443669493286,,,,,,,,,,
2025-08-12,229.64999389648438,221.47000122070312,312.294921875,203.97769165039062,203.15829467773438,638.0286254882812,789.4671630859375,528.3713989257812,183.14967346191406,340.8399963378906,1.0872441677679756,0.07681796954406295,2.9384693660559957,1.2547734381722409,1.1641775508102858,0.6627676369944657,3.150663050056579,1.4316580058936212,0.6042003347467295,0.5338753399730889,28.828115606729906,36.55627048977804,30.141984589776033,20.601626935220793,20.84863433934297,61.325107283663776,47.65378033111402,20.406975659995755,24.33583799476677,45.662140265172205
2025-08-13,233.3300018310547,224.55999755859375,308.5613098144531,202.84869384765625,201.779541015625,659.04248046875,779.5538940429688,519.7256469726562,181.5797576904297,339.3800048828125,1.602441991019199,1.395221168040428,-1.1955404327840147,-0.5534908222559087,-0.6786597929936633,3.2935599032703156,-1.2556911175657937,-1.6363020350273483,-0.8571763966649049,-0.42835097722239146,29.0972441677556,36.569087800833096,30.71723099360478,20.96807427387349,21.31107571976893,62.07472176650088,47.75087940331044,21.451571407937347,24.717720774060428,44.34875191053393
2025-08-14,232.77999877929688,230.97999572753906,310.69769287109375,203.63800048828125,202.75865173339844,682.9299926757812,781.6024780273438,521.6224975585938,182.00973510742188,335.5799865722656,-0.23571895917441354,2.858923333961183,0.6923690653002801,0.3891110293358757,0.4852378555552539,3.6245785233815386,0.2627892696104084,0.3649715185283675,0.23679810043872873,-1.1196942235471519,29.15058210490919,37.89841508109462,30.210357460264696,20.972314057600446,21.30181624516637,63.072336128541835,47.67802874606724,21.112206613494685,24.598483208205923,44.49905635593868
2025-08-15,231.58999633789062,231.02999877929688,305.8160400390625,204.72702026367188,203.71778869628906,701.22998046875,784.7003784179688,519.3162841796875,180.4398193359375,330.55999755859375,-0.5112133549474374,0.021648217457226338,-1.5711905637022627,0.5347821982043532,0.47304366777491946,2.679628657290012,0.39635242693238926,-0.4421230659529152,-0.8625449460479717,-1.4959143019665277,29.386772657595564,37.776489059278454,30.58092160489222,20.963285889759725,21.27340575389549,63.752482349873354,47.67868501292001,21.149153953249524,24.837612423911015,43.52543371574317
2025-08-18,230.88999938964844,231.49000549316406,305.2370300292969,204.10755920410156,203.3181610107422,698.0499877929688,766.8524169921875,516.2512817382812,181.99972534179688,335.1600036621094,-0.30225698834628334,0.19911124801876845,-0.18933277982792207,-0.3025790434367126,-0.19616729992227855,-0.45348783770704504,-2.274493796188104,-0.5901995633061485,0.8645020880647225,1.3915797850586165,29.512615646707122,37.48163412885469,30.244929776156983,19.259520452763496,19.680712943047205,63.67462983759254,48.66295950283861,21.291993082217168,24.725938845672726,43.7511478140516
2025-08-19,230.55999755859375,228.00999450683594,294.40557861328125,202.30918884277344,201.389892578125,703.2100219726562,750.97314453125,508.933349609375,175.63009643554688,329.30999755859375,-0.1429259958971918,-1.503309388634011,-3.548537808461838,-0.8810895433470023,-0.9483995050079685,0.7392069722688577,-2.070707754070922,-1.4175136000177835,-3.4998013839239506,-1.7454368181154756,29.527494712490356,37.78187518139187,30.589554065295747,19.725224200245748,20.167104869780022,63.27748121808542,49.164086195502406,21.65935812522092,26.376967634350045,44.084800523166095
2025-08-20,226.00999450683594,223.80999755859375,290.6719970703125,200.01123046875,199.1418914794922,705.4400024414062,747.2156372070312,504.8900146484375,175.39010620117188,323.8999938964844,-1.9734572779050663,-1.8420231785568841,-1.2681762215766335,-1.1358645581883708,-1.1162432582165205,0.3171144322565933,-0.5003517571276372,-0.7944723929058539,-0.1366452784833938,-1.6428300696053943,30.660461992617364,38.33858377773106,30.51423113422975,20.257535605530844,20.55238991953734,62.149810959449255,49.140083663985244,21.864249760721894,25.33976295603952,44.46002383664127
2025-08-21,224.89999389648438,221.9499969482422,289.10467529296875,200.4408416748047,199.57150268554688,709.8200073242188,738.6014404296875,504.239990234375,174.97012329101562,320.1099853515625,-0.49112899311095637,-0.8310623433453235,-0.5392063195425845,0.21479354186655364,0.21573120696150028,0.620889780513445,-1.1528394680740628,-0.12874574564821772,-0.23945644326968107,-1.170116892973183,30.743478777073815,37.82041071139414,29.982649253651356,20.110235989620264,20.345714452998774,62.096782242559584,49.40208030199118,21.55565821111604,24.65890929187439,32.9913359878323
2025-08-22,227.75999450683594,228.83999633789062,293.49713134765625,206.535400390625,205.9058380126953,711.6799926757812,754.2808837890625,507.2300109863281,177.97996520996094,340.010009765625,1.2716766064777785,3.1043025385826706,1.519330688871201,3.0405772919813057,3.1739678470673605,0.26203619683446977,2.122855778652877,0.5929757278004377,1.7202033480534507,6.2166209505171155,30.929594798597577,39.58429966206685,30.40713610695123,22.5034142729585,22.915051320707207,61.941051799965635,49.81700302092981,21.57056257135788,25.34654927874803,37.59063307577401
2025-08-25,227.16000366210938,227.94000244140625,293.72674560546875,208.9732208251953,208.30369567871094,695.3300170898438,752.7918701171875,504.260009765625,179.79986572265625,346.6000061035156,-0.26343118159346535,-0.3932852258726194,0.07823390189818369,1.180340237053601,1.1645408839101368,-2.2973774384839274,-0.1974083798060855,-0.5855334180498994,1.022531109357394,1.9381771561470362,30.9915448590668,39.53664517834228,29.994886794200177,22.554140096090006,22.9630675878891,62.24247736789805,49.831553381474336,21.646869258421717,24.747812737948998,36.779458534459394
2025-08-26,229.30999755859375,228.7100067138672,297.5002746582031,207.76429748535156,206.95489501953125,736.030029296875,753.5913696289062,502.0400085449219,181.75975036621094,351.6700134277344,0.9464667467088184,0.3378100659005012,1.2847073374118168,-0.5785063440520988,-0.6475164325745242,5.8533374378647585,0.1062045890046992,-0.4402493114088024,1.0900367670896083,1.462783391499567,30.45511429535771,39.47519815449476,30.10895828521983,22.3767677187344,22.764749988967264,63.465079223990024,48.778880879171346,21.68518067398524,24.797729960401224,36.42156408951888
2025-08-27,230.49000549316406,229.1199951171875,299.7364501953125,208.02407836914062,207.29458618164062,734.1699829101562,746.8759155273438,506.739990234375,181.5897674560547,349.6000061035156,0.514590705653295,0.17926124405795996,0.7516549487823099,0.12503634499925198,0.16413777604888935,-0.25271338297102597,-0.8911267262613931,0.9361767208703631,-0.09352065559826706,-0.5886220733017145,29.945935785963414,39.46058997266091,29.555973276210864,22.36878547457229,22.765530263251584,63.45915292644319,48.84622555752451,21.978813536674185,23.70538537011025,36.38760645853982
2025-08-28,232.55999755859375,231.60000610351562,308.1220703125,212.1803436279297,211.4508819580078,731.9600219726562,750.6033935546875,509.6400146484375,180.1598358154297,345.9800109863281,0.8980832210059075,1.08240705271474,2.7976644521289673,1.9979731631901476,2.0050189698274323,-0.3010148860540407,0.4990759441897197,0.5722904191400424,-0.7874516613228466,-1.0354676927882056,29.619231868647066,39.16723081561268,29.04691290184643,20.92959190809228,21.280037574284,62.75180422093846,27.363693612413147,16.401877098556085,23.70851006462282,33.9634562337891
2025-08-29,232.13999938964844,229.0,296.88134765625,213.3393096923828,212.71974182128906,732.5800170898438,738.2017822265625,506.69000244140625,174.170166015625,333.8699951171875,-0.180597769760249,-1.1226278216735164,-3.6481394029481806,0.5462174509837991,0.600073100443832,0.08470341256023861,-1.652218926082094,-0.5788423440546087,-3.324642128304889,-3.5002067994093333,27.47391321176734,24.78850676276876,31.494763140863103,19.550773733817127,20.003780532027033,61.76513886626415,25.823255637240077,15.433648250125088,25.254929950960413,36.00492513984179
2025-09-02,229.72000122070312,225.33999633789062,297.7298889160156,211.8007049560547,211.16114807128906,735.1900024414062,734.6141357421875,505.1199951171875,170.77037048339844,329.3599853515625,-1.0424735828844955,-1.5982548742835667,0.2858183130952874,-0.7212007663035314,-0.7326982143995853,0.35627307470529335,-0.4859980794890473,-0.30985559546348185,-1.9519964928560563,-1.350828116207925,28.16427246270966,24.941197945117306,29.480248265247567,17.762070776790633,18.150251429968602,61.68268492668371,22.108610977848908,12.67698373683988,22.32047665704166,36.015353515514875
2025-09-03,238.47000122070312,225.99000549316406,301.872802734375,230.8936309814453,230.45388793945312,737.8300170898438,736.5528564453125,505.3500061035156,170.61038208007812,334.0899963378906,3.8089848308826335,0.28845707190781056,1.3915008108332794,9.014571518707704,9.136500745700982,0.3590928385411418,0.263910073165996,0.04553590999198942,-0.09368627758283843,1.436121932444001,30.1156135989247,24.81646656317928,29.196938864906613,35.16887480318541,35.74023609921182,61.69885536343164,21.541712537864385,11.906839051366997,22.164857107696992,36.16396270599992
2025-09-04,239.77999877929688,235.67999267578125,305.5764465332031,232.45223999023438,232.09242248535156,742.9099731445312,748.1450805664062,507.9700012207031,171.65032958984375,338.5299987792969,0.5493343195739575,4.2877945692648245,1.2268888635479591,0.6750333485440851,0.7110032122039645,0.6884995103240588,1.5738482336541626,0.5184515851476723,0.6095452674606427,1.328983953448204,25.57143612210278,25.392170770726533,27.57664415190017,35.17519024442546,35.74129022171589,61.056843642907005,21.959685888310002,12.10706531770665,22.144127109905313,34.33781013346447
2025-09-05,239.69000244140625,232.3300018310547,334.31719970703125,234.95999145507812,234.79000854492188,727.2100219726562,751.9425048828125,495.0,167.01058959960938,350.8399963378906,-0.03753287945149619,-1.4214150326010255,9.405421621952549,1.0788243920338614,1.1622895873477201,-2.113304672088523,0.5075785987299852,-2.5533006259296664,-2.7030183986951672,3.6363092201525005,23.763089995414987,26.1167921551418,43.091350778376416,35.090193644526984,35.66889266756552,31.949580084092915,21.620559448232065,14.685770880659508,23.504402551664185,36.30709167497892
2025-09-08,237.8800048828125,235.83999633789062,345.05877685546875,234.16000366210938,234.0399932861328,738.6400146484375,751.7925415039062,498.20001220703125,168.30050659179688,346.3999938964844,-0.7551410322323426,1.5107797009308976,3.212989686995038,-0.3404783035675707,-0.3194408754602418,1.5717595096909953,-0.01994346348722642,0.6464671125315569,0.7723564088240931,-1.265534855703887,19.408166271595935,26.46076108888276,44.12912475275216,34.86491056948578,35.420936109031466,29.9837192961354,21.275052402682917,14.935359075057843,23.28481992435589,36.110427992053204
